,Factor_1,Factor_2,Factor_3
0,13.303518660766807,-4.9310286918622594,2.0831944971998766
1,11.821313619094536,-7.795303033134889,1.0050965644639147
2,-1.6315725092340152,-4.471216231203709,3.4065452035358152
3,8.67567825953266,-2.6840669842088705,4.945776712038135
4,10.56716087833687,-6.61669111412622,0.8799959880562143
5,10.420274873659496,-7.626468946758656,-0.23713476416142587
6,12.237879571122276,-4.0485403857797255,6.977802827870999
7,13.664670030172351,-0.04364761824478769,8.500692524242236
9,9.416872229562243,-5.836280888021022,5.535248678915935
10,3.802194923955945,-8.594688107795848,4.62570857934731
11,12.471652501389036,-2.073572113625904,6.284930633408438
13,6.793481621142461,3.905783858060958,4.881674891085677
14,13.889312933517896,-4.178283750415136,4.904802826881785
15,2.6815340761295916,-2.501881171293518,5.634416314130707
16,5.202623692420635,-7.755570945556458,6.394920029451678
17,14.220680714987013,-6.404749406290718,5.8743068681000485
18,-2.593152080754834,-3.204405172533993,6.111230716864484
19,6.3607395904003745,-2.3313410387861895,5.118528670417029
20,9.07897265295755,-3.3584009301007303,3.253779075559494
21,15.99948466098592,-3.908418151061607,3.847936253272999
22,14.834774413261048,-7.2057156577272465,2.392216655707942
23,8.620392008254859,-0.9035757383524667,4.352620763551233
24,-0.7615838269833725,-4.957530300191891,7.662883595285043
25,10.534481806192957,-7.367585697181503,3.8240477618365096
26,0.05436382689940911,-2.775097364476938,3.0518722413017736
27,2.5975160938465107,-5.964632878523425,8.254352207167388
28,14.800018015734029,-3.204428586701046,5.789665747517465
29,19.653807534442628,-2.5935731274112244,7.545051756038111
30,8.686979186728815,-3.4970783205469065,2.2963976885885167
31,8.193723752055535,-3.948102312092299,5.995064012622052
32,0.38203799989168297,-0.9557359132361085,5.714162468312332
33,10.232267852286675,-5.664666008749103,4.0639835538586615
34,7.466255071277761,-3.209026985510568,5.03216284092736
35,6.346029000616564,-5.949257315933077,2.1702124374085034
36,-1.3426531036515361,-1.8049342256334338,2.481801947025351
37,-3.0148243754167847,-0.5156164805361589,2.151027605783695
38,-1.608647283920687,-8.33289267536519,5.798761587350139
39,1.9982541184823708,-3.534279974982079,6.189835253258004
40,2.0493069976264464,-5.513442273835123,4.630208970922659
42,0.8410377501681265,-1.896507471768969,6.3393769678278185
43,8.665894983096178,-2.500283524630993,8.864409816164741
45,6.484868314166192,-2.581720468765452,4.501076410941598
46,3.9795017426178636,-2.6776842391866404,3.7613235467378567
47,7.65358628193768,-6.2015696605136,8.376237574820777
48,3.701117160469931,-2.4481751191768515,3.8599026056703334
49,3.865286509010229,-4.403091125798631,3.7230829766336826
50,15.131075623085849,-4.364008342770513,1.0350496697300815
51,18.172289338128515,-5.104763201246582,3.491812722286265
52,6.624906828542461,-4.341449122177708,5.3192554933331175
53,5.10202186317845,-1.9583298741568944,3.814649331915728
54,13.036759083680753,-5.178288898839675,7.8174910799680815
55,6.621498641189069,-3.497256335968688,11.16328554220931
56,2.32782224819826,-6.945599212804311,5.540287517256318
